기간,지역,인구,면적,인구밀도(명/㎢)
2013,합계,10388055,605.2,17165
2013,종로구,167867,23.91,7022
2013,중구,137990,9.96,13854
2013,용산구,251925,21.87,11520
2013,성동구,306571,16.85,18190
2013,광진구,381439,17.06,22356
2013,동대문구,376445,14.21,26490
2013,중랑구,421237,18.5,22773
2013,성북구,485347,24.58,19747
2013,강북구,341921,23.6,14490
2013,도봉구,360609,20.7,17418
2013,노원구,594027,35.44,16763
2013,은평구,508111,29.7,17107
2013,서대문구,324067,17.61,18405
2013,마포구,391098,23.84,16407
2013,양천구,496934,17.4,28554
2013,강서구,575236,41.43,13885
2013,구로구,452168,20.12,22475
2013,금천구,258254,13.02,19840
2013,영등포구,421577,24.53,17187
2013,동작구,421487,16.35,25773
2013,관악구,535128,29.57,18097
2013,서초구,446541,47,9501
2013,강남구,569152,39.5,14409
2013,송파구,674955,33.87,19925
2013,강동구,487969,24.59,19846
2014,합계,10369593,605.21,17134
2014,종로구,165344,23.91,6914
2014,중구,136227,9.96,13677
2014,용산구,249914,21.87,11428
2014,성동구,303891,16.86,18028
2014,광진구,377375,17.06,22117
2014,동대문구,376319,14.21,26481
2014,중랑구,423411,18.5,22892
2014,성북구,475961,24.58,19366
2014,강북구,338410,23.6,14341
2014,도봉구,355712,20.7,17183
2014,노원구,586056,35.44,16538
2014,은평구,503243,29.7,16943
2014,서대문구,320861,17.61,18225
2014,마포구,395830,23.84,16607
2014,양천구,490708,17.4,28196
2014,강서구,591653,41.43,14282
2014,구로구,457131,20.12,22721
2014,금천구,258030,13.02,19818
2014,영등포구,421436,24.53,17181
2014,동작구,419261,16.35,25637
2014,관악구,531960,29.57,17991
2014,서초구,454288,47,9665
2014,강남구,583446,39.5,14770
2014,송파구,671794,33.88,19831
2014,강동구,481332,24.59,19577
2015,합계,10297138,605.25,17013
2015,종로구,163822,23.91,6851
2015,중구,134329,9.96,13486
2015,용산구,247909,21.87,11337
2015,성동구,305065,16.86,18093
2015,광진구,375180,17.06,21987
2015,동대문구,373824,14.21,26301
2015,중랑구,418620,18.5,22633
2015,성북구,469560,24.58,19104
2015,강북구,334426,23.6,14172
2015,도봉구,353241,20.71,17056
2015,노원구,578221,35.44,16317
2015,은평구,502578,29.7,16920
2015,서대문구,323105,17.61,18351
2015,마포구,398351,23.84,16706
2015,양천구,489010,17.4,28098
2015,강서구,595691,41.44,14376
2015,구로구,454604,20.12,22596
2015,금천구,256167,13.02,19675
2015,영등포구,417811,24.53,17033
2015,동작구,412774,16.35,25240
2015,관악구,529031,29.57,17891
2015,서초구,451258,47,9601
2015,강남구,581760,39.5,14728
2015,송파구,667480,33.88,19704
2015,강동구,463321,24.59,18842
2016,합계,10204057,605.2,16861
2016,종로구,161922,23.91,6771
2016,중구,134409,9.96,13494
2016,용산구,245102,21.87,11209
2016,성동구,307161,16.86,18218
2016,광진구,372104,17.06,21807
2016,동대문구,370312,14.22,26050
2016,중랑구,415677,18.5,22474
2016,성북구,461617,24.58,18781
2016,강북구,330704,23.6,14015
2016,도봉구,350272,20.67,16948
2016,노원구,571212,35.44,16119
2016,은평구,495937,29.7,16696
2016,서대문구,325871,17.61,18506
2016,마포구,390887,23.84,16394
2016,양천구,481845,17.41,27681
2016,강서구,602104,41.44,14531
2016,구로구,449600,20.12,22347
2016,금천구,254654,13.02,19560
2016,영등포구,406779,24.53,16583
2016,동작구,413247,16.35,25269
2016,관악구,525607,29.57,17776
2016,서초구,451477,46.98,9610
2016,강남구,572140,39.5,14484
2016,송파구,664946,33.88,19629
2016,강동구,448471,24.59,18238
2017,합계,10124579,605.24,16728
2017,종로구,164257,23.91,6869
2017,중구,134593,9.96,13514
2017,용산구,244444,21.87,11179
2017,성동구,312711,16.86,18551
2017,광진구,372298,17.06,21819
2017,동대문구,366011,14.22,25748
2017,중랑구,412780,18.5,22318
2017,성북구,455407,24.57,18533
2017,강북구,328002,23.6,13898
2017,도봉구,346234,20.67,16752
2017,노원구,558075,35.44,15748
2017,은평구,491202,29.71,16534
2017,서대문구,325028,17.63,18440
2017,마포구,385783,23.85,16174
2017,양천구,475018,17.41,27289
2017,강서구,608255,41.44,14679
2017,구로구,441559,20.12,21946
2017,금천구,253491,13.02,19469
2017,영등포구,402024,24.55,16377
2017,동작구,408493,16.35,24978
2017,관악구,520929,29.57,17617
2017,서초구,445401,46.99,9480
2017,강남구,561052,39.5,14203
2017,송파구,671173,33.87,19813
2017,강동구,440359,24.59,17909